total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,bug
307,116,44,5,147,138,23,245,366,161,611,3104,0.04898,20.4167,63373.3333,1.0347,3520.7407,1
3,0,0,0,3,4,6,6,8,10,14,32,0.22222,4.5,144.0,0.010667,8.0,0
268,72,22,0,174,125,23,337,484,148,821,4102,0.032254,31.004,127178.408,1.3673,7065.4671,0
11,2,0,0,9,10,4,15,17,14,32,84,0.33333,3.0,252.0,0.028,14.0,0
9,2,0,0,7,7,4,11,13,11,24,57,0.31818,3.1429,179.1429,0.019,9.9524,0
10,2,0,0,8,7,4,13,15,11,28,67,0.26923,3.7143,248.8571,0.022333,13.8254,0
5,0,0,0,5,5,3,5,9,8,14,29,0.66667,1.5,43.5,0.0096667,2.4167,0
28,5,1,0,22,18,12,49,53,30,102,346,0.061224,16.3333,5651.3333,0.11533,313.963,0
26,6,0,0,20,16,11,41,44,27,85,280,0.070953,14.0938,3946.25,0.093333,219.2361,0
15,4,0,0,11,11,5,19,22,16,41,113,0.23158,4.3182,487.9545,0.037667,27.1086,0
23,5,1,0,17,18,9,25,36,27,61,201,0.16,6.25,1256.25,0.067,69.7917,0
10,4,0,0,6,9,6,24,23,15,47,127,0.125,8.0,1016.0,0.042333,56.4444,0
23,5,1,0,17,15,10,43,58,25,101,325,0.069767,14.3333,4658.3333,0.10833,258.7963,0
76,11,11,2,54,49,14,116,166,63,282,1168,0.060345,16.5714,19355.4286,0.38933,1075.3016,0
203,63,37,6,103,60,23,304,348,83,652,2881,0.017162,58.2667,167866.2667,0.96033,9325.9037,0
64,18,7,1,39,35,14,75,97,49,172,669,0.066667,15.0,10035.0,0.223,557.5,0
94,21,17,3,56,35,18,103,145,53,248,984,0.037756,26.4857,26061.9429,0.328,1447.8857,0
31,10,5,0,16,19,5,64,66,24,130,413,0.11875,8.4211,3477.8947,0.13767,193.2164,0
70,21,15,0,34,30,7,83,88,37,171,617,0.10327,9.6833,5974.6167,0.20567,331.9231,0
20,9,8,0,3,12,4,19,22,16,41,113,0.31579,3.1667,357.8333,0.037667,19.8796,0
285,78,40,3,167,36,15,295,355,51,650,2555,0.016271,61.4583,157026.0417,0.85167,8723.669,0
61,21,7,1,33,24,10,73,83,34,156,550,0.065753,15.2083,8364.5833,0.18333,464.6991,0
16,5,0,0,11,12,5,22,23,17,45,127,0.21818,4.5833,582.0833,0.042333,32.338,0
17,6,0,0,11,12,5,22,23,17,45,127,0.21818,4.5833,582.0833,0.042333,32.338,0
29,8,1,1,20,15,10,38,44,25,82,263,0.078947,12.6667,3331.3333,0.087667,185.0741,0
82,31,7,4,44,25,11,57,91,36,148,530,0.079745,12.54,6646.2,0.17667,369.2333,0
74,21,10,4,43,30,10,58,91,40,149,549,0.10345,9.6667,5307.0,0.183,294.8333,0
77,30,13,4,34,50,16,87,108,66,195,816,0.071839,13.92,11358.72,0.272,631.04,0
76,19,2,1,55,57,19,118,155,76,273,1182,0.050847,19.6667,23246.0,0.394,1291.4444,0
23,5,0,0,18,22,6,67,69,28,136,453,0.10945,9.1364,4138.7727,0.151,229.9318,0
19,5,0,0,14,14,13,26,33,27,59,194,0.08284,12.0714,2341.8571,0.064667,130.1032,0
128,42,21,3,65,67,13,83,134,80,217,950,0.12419,8.0522,7649.6269,0.31667,424.9793,0
115,42,4,1,69,44,19,117,155,63,272,1126,0.039586,25.2614,28444.2955,0.37533,1580.2386,0
117,40,17,4,60,52,14,82,126,66,208,871,0.090592,11.0385,9614.5,0.29033,534.1389,0
91,21,18,0,52,74,5,102,104,79,206,900,0.2902,3.4459,3101.3514,0.3,172.2973,0
57,0,36,0,21,30,4,35,37,34,72,253,0.42857,2.3333,590.3333,0.084333,32.7963,0
18,5,6,0,7,15,7,28,39,22,67,207,0.15306,6.5333,1352.4,0.069,75.1333,0
91,26,14,0,51,68,14,142,167,82,309,1361,0.06841,14.6176,19894.6177,0.45367,1105.2565,0
31,3,1,0,27,29,5,62,64,34,126,444,0.1871,5.3448,2373.1034,0.148,131.8391,0
18,4,0,0,14,20,6,32,34,26,66,215,0.20833,4.8,1032.0,0.071667,57.3333,1
26,10,0,0,16,21,13,45,55,34,100,352,0.071795,13.9286,4902.8571,0.11733,272.381,0
11,4,0,0,7,11,8,23,29,19,52,153,0.11957,8.3636,1279.6364,0.051,71.0909,0
31,10,0,0,21,18,8,36,46,26,82,267,0.125,8.0,2136.0,0.089,118.6667,0
17,7,2,1,8,13,7,17,20,20,37,110,0.21849,4.5769,503.4615,0.036667,27.9701,0
115,32,29,2,54,65,13,183,229,78,412,1794,0.054645,18.3,32830.2,0.598,1823.9,0
62,19,12,0,31,45,13,130,161,58,291,1181,0.053254,18.7778,22176.5556,0.39367,1232.0309,0
58,18,5,0,35,24,14,50,74,38,124,451,0.068571,14.5833,6577.0833,0.15033,365.3935,0
6,2,0,0,4,8,6,9,10,14,19,50,0.2963,3.375,168.75,0.016667,9.375,0
5,1,0,0,4,7,5,8,9,12,17,42,0.35,2.8571,120.0,0.014,6.6667,0
155,36,16,4,103,69,29,207,320,98,527,2416,0.022989,43.5,105096.0,0.80533,5838.6667,0
42,8,3,1,31,18,11,42,61,29,103,346,0.077922,12.8333,4440.3333,0.11533,246.6852,0
445,109,64,11,272,99,19,477,693,118,1170,5581,0.021847,45.7727,255457.5909,1.8603,14192.0884,1
43,9,7,4,27,25,14,51,75,39,126,461,0.070028,14.28,6583.08,0.15367,365.7267,1
181,54,24,2,103,115,24,273,341,139,614,3029,0.035104,28.487,86286.9913,1.0097,4793.7217,1
131,29,12,4,90,66,26,164,244,92,408,1844,0.030957,32.303,59566.7879,0.61467,3309.266,0
15,3,0,0,12,13,11,18,29,24,47,149,0.13131,7.6154,1134.6923,0.049667,63.0385,0
112,29,10,4,73,40,17,112,170,57,282,1140,0.042017,23.8,27132.0,0.38,1507.3333,0
670,81,195,31,394,142,27,575,817,169,1392,7140,0.018293,54.6655,390311.6197,2.38,21683.9789,1
173,59,22,6,92,77,31,277,352,108,629,2945,0.017934,55.7597,164212.4351,0.98167,9122.9131,1
114,32,12,3,70,46,23,134,180,69,314,1329,0.029851,33.5,44521.5,0.443,2473.4167,0
148,41,5,0,102,42,16,147,208,58,355,1441,0.035714,28.0,40348.0,0.48033,2241.5556,0
10,0,0,0,10,11,7,30,38,18,68,196,0.10476,9.5455,1870.9091,0.065333,103.9394,0
333,94,53,9,186,56,18,352,469,74,821,3533,0.017677,56.5714,199866.8571,1.1777,11103.7143,1
7,0,4,0,3,8,6,10,12,14,22,58,0.27,3.7,214.81,0.02,11.93,0
9,0,1,0,8,7,8,15,20,15,35,94,0.12,8.33,783.33,0.03,43.52,0
21,0,14,1,7,15,12,21,36,27,57,187,0.12,8.33,1558.33,0.06,86.57,0
30,0,11,0,19,16,18,50,70,34,120,423,0.04,25.0,10575.0,0.14,587.5,1
8,0,2,0,6,4,5,5,10,9,15,32,0.32,3.13,100.0,0.01,5.56,0
7,0,1,0,6,4,5,4,11,9,15,32,0.4,2.5,80.0,0.01,4.44,0
22,0,5,0,17,15,9,38,50,24,88,279,0.09,11.11,3100.0,0.09,172.22,0
32,0,10,0,22,19,9,26,46,28,72,239,0.16,6.25,1493.75,0.08,82.99,0
14,0,5,0,9,13,8,22,30,21,52,158,0.15,6.67,1053.33,0.05,58.52,0
9,0,1,0,8,8,8,10,18,16,28,77,0.2,5.0,385.0,0.03,21.39,0
3,0,0,0,3,3,4,3,5,7,8,15,0.5,2.0,30.0,0.01,1.67,0
8,0,0,0,8,7,7,8,14,14,22,58,0.25,4.0,232.0,0.02,12.89,0
7,0,1,0,6,8,7,10,16,15,26,70,0.23,4.35,304.35,0.02,16.91,0
45,0,16,0,29,22,11,40,65,33,105,367,0.1,10.0,3670.0,0.12,203.89,0
10,0,5,1,5,6,5,7,16,11,23,55,0.34,2.94,161.76,0.02,8.99,0
8,0,0,0,8,6,12,14,22,18,36,104,0.07,14.29,1485.71,0.03,82.54,0
10,0,1,0,9,9,11,17,29,20,46,137,0.1,10.0,1370.0,0.05,76.11,0
9,0,2,0,7,6,7,9,18,13,27,69,0.19,5.26,363.16,0.02,20.18,0
6,0,0,0,6,9,7,21,23,16,44,121,0.12,8.33,1008.33,0.04,56.02,1
6,0,0,0,6,9,9,22,32,18,54,156,0.09,11.11,1733.33,0.05,96.3,0
8,0,3,0,5,5,4,5,9,9,14,30,0.5,2.0,60.0,0.01,3.33,0
9,0,2,0,7,7,8,9,15,15,24,64,0.19,5.26,336.84,0.02,18.71,0
21,0,2,0,19,16,8,36,47,24,83,263,0.11,9.09,2390.91,0.09,132.83,0
7,0,0,0,7,8,4,8,11,12,19,47,0.5,2.0,94.0,0.02,5.22,0
6,0,0,0,6,7,4,7,9,11,16,38,0.5,2.0,76.0,0.01,4.22,0
13,0,0,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,0.06,84.34,0
20,0,0,0,20,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,0
21,0,0,0,21,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,0
22,0,6,0,16,14,7,20,33,21,53,161,0.2,5.0,805.0,0.05,44.72,0
25,0,10,0,15,18,16,40,58,34,98,345,0.06,16.67,5750.0,0.12,319.44,0
33,0,14,0,19,17,17,45,62,34,107,377,0.04,25.0,9425.0,0.13,523.61,0
9,0,3,0,6,5,9,8,15,14,23,60,0.14,7.14,428.57,0.02,23.81,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
3,0,0,0,3,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75.0,0.01,4.17,0
3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75.0,0.01,4.17,0
3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75.0,0.01,4.17,0
11,0,1,0,10,9,12,17,25,21,42,127,0.09,11.11,1411.11,0.04,78.4,1
35,0,29,0,6,31,7,35,40,38,75,272,0.25,4.0,1088.0,0.09,60.44,0
22,0,9,1,13,13,13,27,47,26,74,241,0.07,14.29,3442.86,0.08,191.27,0
10,0,2,0,8,8,11,14,24,19,38,111,0.1,10.0,1110.0,0.04,61.67,1
21,0,7,0,14,11,9,25,39,20,64,191,0.1,10.0,1910.0,0.06,106.11,1
21,0,5,0,16,17,11,40,50,28,90,299,0.08,12.5,3737.5,0.1,207.64,0
10,0,3,0,7,9,7,16,18,16,34,94,0.16,6.25,587.5,0.03,32.64,0
9,0,4,0,5,4,3,4,9,7,13,25,0.67,1.49,37.31,0.01,2.07,0
19,0,7,0,12,15,9,19,31,24,50,158,0.18,5.56,877.78,0.05,48.77,1
60,9,30,0,21,33,9,40,70,42,110,411,0.18,5.56,2283.33,0.14,126.85,0
10,0,0,0,10,7,8,16,21,15,37,100,0.11,9.09,909.09,0.03,50.51,0
19,1,4,0,14,10,8,15,27,18,42,121,0.17,5.88,711.76,0.04,39.54,0
36,4,5,0,27,15,7,41,59,22,100,309,0.1,10.0,3090.0,0.1,171.67,0
8,0,3,0,5,6,6,7,11,12,18,44,0.29,3.45,151.72,0.01,8.43,0
3,0,0,0,3,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
38,0,13,1,25,23,13,47,68,36,115,412,0.08,12.5,5150.0,0.14,286.11,0
54,0,19,0,35,40,13,79,112,53,191,758,0.08,12.5,9475.0,0.25,526.39,0
55,0,13,0,42,43,13,79,108,56,187,752,0.08,12.5,9400.0,0.25,522.22,0
14,2,8,0,4,15,5,19,22,20,41,122,0.32,3.13,381.25,0.04,21.18,0
72,0,23,1,49,47,15,109,158,62,267,1101,0.06,16.67,18350.0,0.37,1019.44,0
7,0,4,0,3,5,3,7,9,8,16,33,0.48,2.08,68.75,0.01,3.82,0
35,0,13,0,22,28,13,49,71,41,120,445,0.09,11.11,4944.44,0.15,274.69,0
37,0,13,1,24,33,15,56,79,48,135,522,0.08,12.5,6525.0,0.17,362.5,0
39,0,14,1,25,34,15,62,88,49,150,583,0.07,14.29,8328.57,0.19,462.7,0
13,0,9,0,4,7,4,15,17,11,32,76,0.23,4.35,330.43,0.03,18.36,0
12,0,4,0,8,9,8,13,22,17,35,99,0.17,5.88,582.35,0.03,32.35,0
4,0,0,0,4,4,6,6,7,10,13,29,0.22,4.55,131.82,0.01,7.32,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
27,0,10,0,17,15,9,36,48,24,84,266,0.09,11.11,2955.56,0.09,164.2,0
31,0,11,0,20,17,8,46,66,25,112,360,0.09,11.11,4000.0,0.12,222.22,0
8,0,0,0,8,6,3,7,13,9,20,43,0.57,1.75,75.44,0.01,4.19,0
10,0,7,0,3,7,3,7,15,10,22,50,0.67,1.49,74.63,0.02,4.15,0
79,5,26,2,48,34,10,70,110,44,180,681,0.1,10.0,6810.0,0.23,378.33,0
21,2,9,0,10,9,7,15,27,16,42,116,0.17,5.88,682.35,0.04,37.91,0
34,0,5,0,29,18,11,35,58,29,93,313,0.09,11.11,3477.78,0.1,193.21,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
58,0,8,0,50,26,15,66,108,41,174,646,0.05,20.0,12920.0,0.22,717.78,0
36,0,5,0,31,20,11,37,60,31,97,333,0.1,10.0,3330.0,0.11,185.0,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
60,0,8,0,52,26,16,71,114,42,185,691,0.05,20.0,13820.0,0.23,767.78,1
4,0,2,0,2,5,4,5,7,9,12,26,0.5,2.0,52.0,0.01,2.89,0
3,0,0,0,3,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0
3,0,0,0,3,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0
60,0,8,0,52,26,16,70,113,42,183,683,0.05,20.0,13660.0,0.23,758.89,0
48,0,7,0,41,22,11,51,84,33,135,472,0.08,12.5,5900.0,0.16,327.78,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,1
32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,0
38,0,5,0,33,22,11,39,62,33,101,353,0.1,10.0,3530.0,0.12,196.11,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,0
40,0,6,0,34,19,11,42,70,30,112,380,0.08,12.5,4750.0,0.13,263.89,0
3,0,0,0,3,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0
4,0,0,0,4,3,5,4,7,8,11,22,0.3,3.33,73.33,0.01,4.07,0
95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,0
40,0,5,0,35,24,11,41,64,35,105,373,0.11,9.09,3390.91,0.12,188.38,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,0
12,0,3,0,9,11,15,22,32,26,54,175,0.07,14.29,2500.0,0.06,138.89,0
3,0,0,0,3,5,6,5,8,11,13,31,0.33,3.03,93.94,0.01,5.22,0
18,0,3,0,15,10,15,31,46,25,77,247,0.04,25.0,6175.0,0.08,343.06,0
8,0,0,0,8,7,7,8,14,14,22,58,0.25,4.0,232.0,0.02,12.89,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
4,0,0,0,4,2,5,3,7,7,10,19,0.27,3.7,70.37,0.01,3.91,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
2,0,0,0,2,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,0
6,0,0,0,6,3,5,5,11,8,16,33,0.24,4.17,137.5,0.01,7.64,0
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,0
27,0,3,0,24,16,9,26,44,25,70,225,0.14,7.14,1607.14,0.08,89.29,0
51,2,12,0,37,29,17,58,91,46,149,570,0.06,16.67,9500.0,0.19,527.78,1
103,61,3,0,39,26,19,81,111,45,192,730,0.033788,29.5962,21605.1923,0.24333,1200.2885,0
53,22,5,0,26,18,16,38,54,34,92,324,0.059211,16.8889,5472.0,0.108,304.0,0
25,10,1,0,14,12,14,42,58,26,100,325,0.040816,24.5,7962.5,0.10833,442.3611,0
73,22,8,1,43,25,12,67,97,37,164,592,0.062189,16.08,9519.36,0.19733,528.8533,0
69,21,17,0,31,16,9,28,48,25,76,244,0.12698,7.875,1921.5,0.081333,106.75,0
42,18,1,0,23,12,10,23,39,22,62,191,0.10435,9.5833,1830.4167,0.063667,101.6898,0
69,26,10,0,33,17,12,39,64,29,103,346,0.07265,13.7647,4762.5882,0.11533,264.5882,0
58,26,0,0,32,17,14,48,82,31,130,446,0.050595,19.7647,8815.0588,0.14867,489.7255,0
45,20,2,0,23,27,12,61,77,39,138,505,0.07377,13.5556,6845.5556,0.16833,380.3086,0
102,55,6,0,41,23,13,111,130,36,241,863,0.031878,31.3696,27071.9348,0.28767,1503.9964,0
89,22,17,0,50,21,18,52,82,39,134,490,0.044872,22.2857,10920.0,0.16333,606.6667,1
58,25,10,0,23,19,11,35,56,30,91,309,0.098701,10.1316,3130.6579,0.103,173.9254,0
530,235,78,0,217,60,12,329,478,72,807,3451,0.030395,32.9,113537.9,1.1503,6307.6611,0
907,395,209,4,303,112,20,560,829,132,1389,6782,0.02,50.0,339100.0,2.2607,18838.8889,1
142,62,14,0,66,44,17,114,174,61,288,1183,0.045408,22.0227,26052.8864,0.39433,1447.3826,1
16,3,0,0,13,18,10,21,31,28,52,173,0.17143,5.8333,1009.1667,0.057667,56.0648,0
70,35,11,0,24,20,12,30,50,32,80,277,0.11111,9.0,2493.0,0.092333,138.5,0
185,81,18,0,86,42,15,99,173,57,272,1099,0.056566,17.6786,19428.75,0.36633,1079.375,0
56,0,27,0,29,12,7,13,24,19,37,108,0.26374,3.7917,409.5,0.036,22.75,0
86,48,1,0,37,32,13,58,94,45,152,578,0.084881,11.7812,6809.5625,0.19267,378.309,0
103,55,4,0,44,30,17,58,86,47,144,554,0.060852,16.4333,9104.0667,0.18467,505.7815,1
50,23,4,0,23,18,6,23,47,24,70,222,0.26087,3.8333,851.0,0.074,47.2778,0
240,121,5,1,114,65,19,185,249,84,434,1922,0.036984,27.0385,51967.9231,0.64067,2887.1068,1
42,16,4,0,22,18,9,25,43,27,68,224,0.16,6.25,1400.0,0.074667,77.7778,0
161,61,19,0,81,39,11,110,173,50,283,1107,0.064463,15.5128,17172.6923,0.369,954.0385,1
23,9,4,0,10,11,10,15,24,21,39,118,0.14667,6.8182,804.5455,0.039333,44.697,0
13,6,1,0,6,5,4,5,9,9,14,30,0.5,2.0,60.0,0.01,3.3333,0
8,3,0,0,5,4,4,4,7,8,11,22,0.5,2.0,44.0,0.0073333,2.4444,0
16,7,1,0,8,8,4,9,13,12,22,54,0.44444,2.25,121.5,0.018,6.75,0
45,23,4,0,18,19,9,27,41,28,68,226,0.15638,6.3947,1445.2105,0.075333,80.2895,0
