total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,bug
10,6,0,0,4,4,4,4,7,8,11,22,0.5,2.0,44.0,0.0073333,2.4444,0
146,35,59,0,52,68,7,94,100,75,194,837,0.20669,4.8382,4049.6029,0.279,224.9779,0
28,14,7,0,7,11,4,11,19,15,30,81,0.5,2.0,162.0,0.027,9.0,0
112,0,96,0,16,31,6,42,49,37,91,328,0.24603,4.0645,1333.1613,0.10933,74.0645,0
181,75,58,1,48,87,6,115,117,93,232,1051,0.25217,3.9655,4167.7586,0.35033,231.5421,1
54,25,4,0,25,23,6,29,46,29,75,252,0.26437,3.7826,953.2174,0.084,52.9565,0
29,13,3,0,13,16,9,31,36,25,67,215,0.1147,8.7188,1874.5312,0.071667,104.1406,0
42,18,2,0,22,18,8,37,44,26,81,263,0.12162,8.2222,2162.4444,0.087667,120.1358,0
86,30,20,0,36,31,11,46,76,42,122,455,0.12253,8.1613,3713.3871,0.15167,206.2993,1
14,6,0,0,8,12,5,18,19,17,37,104,0.26667,3.75,390.0,0.034667,21.6667,0
191,100,13,0,78,44,22,132,194,66,326,1365,0.030303,33.0,45045.0,0.455,2502.5,1
67,28,12,0,27,34,18,63,97,52,160,632,0.059965,16.6765,10539.5294,0.21067,585.5294,0
58,31,3,1,24,20,14,36,51,34,87,306,0.079365,12.6,3855.6,0.102,214.2,0
52,21,8,0,23,35,10,49,63,45,112,426,0.14286,7.0,2982.0,0.142,165.6667,0
12,3,0,0,9,10,8,11,18,18,29,83,0.22727,4.4,365.2,0.027667,20.2889,0
31,14,2,0,15,15,10,28,38,25,66,212,0.10714,9.3333,1978.6667,0.070667,109.9259,0
290,141,11,0,138,41,20,146,243,61,389,1599,0.028082,35.6098,56940.0,0.533,3163.3333,0
21,10,2,1,9,16,5,20,21,21,41,124,0.32,3.125,387.5,0.041333,21.5278,0
13,8,0,0,5,5,4,6,9,9,15,32,0.41667,2.4,76.8,0.010667,4.2667,0
16,10,0,0,6,9,8,10,15,17,25,70,0.225,4.4444,311.1111,0.023333,17.284,0
11,5,0,0,6,7,4,7,11,11,18,43,0.5,2.0,86.0,0.014333,4.7778,0
33,17,0,0,16,25,5,30,32,30,62,210,0.33333,3.0,630.0,0.07,35.0,0
14,8,0,0,6,7,4,9,11,11,20,47,0.38889,2.5714,120.8571,0.015667,6.7143,0
47,14,3,0,30,32,7,45,57,39,102,373,0.20317,4.9219,1835.8594,0.12433,101.9922,0
14,8,0,0,6,8,8,12,21,16,33,91,0.16667,6.0,546.0,0.030333,30.3333,0
21,5,0,0,16,8,8,23,31,16,54,149,0.086957,11.5,1713.5,0.049667,95.1944,0
73,12,2,0,59,32,13,89,119,45,208,791,0.055315,18.0781,14299.7969,0.26367,794.4332,0
67,17,3,0,47,28,13,70,92,41,162,601,0.061538,16.25,9766.25,0.20033,542.5694,0
18,1,0,0,17,11,9,16,25,20,41,122,0.15278,6.5455,798.5455,0.040667,44.3636,0
20,6,1,0,13,11,7,13,23,18,36,104,0.24176,4.1364,430.1818,0.034667,23.899,0
27,4,5,0,18,22,11,30,47,33,77,269,0.13333,7.5,2017.5,0.089667,112.0833,0
250,47,22,0,181,65,28,226,357,93,583,2642,0.020544,48.6769,128604.4308,0.88067,7144.6906,1
57,4,1,1,52,21,10,53,75,31,128,439,0.079245,12.619,5539.7619,0.14633,307.7646,0
11,0,0,0,11,4,6,5,11,10,16,36,0.26667,3.75,135.0,0.012,7.5,0
252,119,17,0,116,67,20,159,242,87,401,1790,0.042138,23.7313,42479.1045,0.59667,2359.9502,1
25,17,0,0,8,10,6,11,16,16,27,74,0.30303,3.3,244.2,0.024667,13.5667,0
13,6,0,0,7,9,4,10,13,13,23,58,0.45,2.2222,128.8889,0.019333,7.1605,0
74,31,8,0,35,24,11,42,62,35,104,369,0.1039,9.625,3551.625,0.123,197.3125,0
52,23,11,0,18,14,17,37,62,31,99,339,0.044515,22.4643,7615.3929,0.113,423.0774,1
47,22,5,0,20,13,11,38,58,24,96,305,0.062201,16.0769,4903.4615,0.10167,272.4145,0
89,38,6,0,45,29,20,75,114,49,189,735,0.038667,25.8621,19008.6207,0.245,1056.0345,1
24,9,1,0,14,16,16,25,44,32,69,239,0.08,12.5,2987.5,0.079667,165.9722,0
46,24,2,0,20,15,13,36,56,28,92,306,0.064103,15.6,4773.6,0.102,265.2,0
52,27,7,0,18,12,13,29,57,25,86,276,0.06366,15.7083,4335.5,0.092,240.8611,0
68,25,16,16,27,38,5,103,105,43,208,782,0.14757,6.7763,5299.0789,0.26067,294.3933,0
75,25,16,16,34,43,10,111,123,53,234,929,0.077477,12.907,11990.5814,0.30967,666.1434,0
6,3,0,0,3,5,6,5,10,11,15,35,0.33333,3.0,105.0,0.011667,5.8333,0
16,4,3,0,9,7,12,14,29,19,43,126,0.083333,12.0,1512.0,0.042,84.0,0
22,3,0,0,19,23,4,35,37,27,72,237,0.32857,3.0435,721.3043,0.079,40.0725,0
47,22,6,0,19,17,17,36,61,34,97,342,0.055556,18.0,6156.0,0.114,342.0,1
50,25,1,0,24,14,14,26,51,28,77,256,0.076923,13.0,3328.0,0.085333,184.8889,1
128,73,3,0,52,26,16,72,108,42,180,672,0.045139,22.1538,14887.3846,0.224,827.0769,0
136,64,4,0,68,28,13,68,117,41,185,687,0.063348,15.7857,10844.7857,0.229,602.4881,0
71,39,1,0,31,28,14,87,126,42,213,796,0.045977,21.75,17313.0,0.26533,961.8333,0
244,84,46,1,114,45,17,232,380,62,612,2525,0.022819,43.8222,110651.1111,0.84167,6147.284,1
22,6,11,0,5,4,7,7,11,11,18,43,0.16327,6.125,263.375,0.014333,14.6319,0
25,5,0,0,20,8,10,41,62,18,103,297,0.039024,25.625,7610.625,0.099,422.8125,0
26,13,3,0,10,6,5,6,14,11,20,47,0.4,2.5,117.5,0.015667,6.5278,0
61,21,6,0,34,21,12,30,54,33,84,293,0.11667,8.5714,2511.4286,0.097667,139.5238,0
112,52,4,0,56,45,15,76,115,60,191,782,0.078947,12.6667,9905.3333,0.26067,550.2963,0
131,59,13,0,59,44,17,87,139,61,226,929,0.0595,16.8068,15613.5341,0.30967,867.4186,0
153,64,28,0,61,22,14,81,132,36,213,763,0.038801,25.7727,19664.5909,0.25433,1092.4773,0
82,36,6,0,40,30,12,52,78,42,130,485,0.096154,10.4,5044.0,0.16167,280.2222,0
121,56,12,0,53,35,19,80,113,54,193,769,0.046053,21.7143,16698.2857,0.25633,927.6825,0
269,112,30,0,127,50,26,168,267,76,435,1883,0.022894,43.68,82249.44,0.62767,4569.4133,1
324,142,38,1,144,94,21,261,401,115,662,3141,0.0343,29.1543,91573.516,1.047,5087.4176,1
114,24,27,0,63,29,12,61,98,41,159,590,0.079235,12.6207,7446.2069,0.19667,413.6782,1
68,29,1,0,38,30,14,60,95,44,155,586,0.071429,14.0,8204.0,0.19533,455.7778,0
149,72,16,0,61,46,17,114,170,63,284,1176,0.047472,21.0652,24772.6957,0.392,1376.2609,0
27,9,1,0,17,19,9,21,35,28,56,186,0.20106,4.9737,925.1053,0.062,51.3947,1
51,21,3,0,27,30,4,53,55,34,108,380,0.28302,3.5333,1342.6667,0.12667,74.5926,0
32,11,3,0,18,7,16,20,42,23,62,194,0.04375,22.8571,4434.2857,0.064667,246.3492,0
71,27,9,0,35,19,16,53,80,35,133,472,0.044811,22.3158,10533.0526,0.15733,585.1696,0
79,40,5,0,34,23,10,52,79,33,131,458,0.088462,11.3043,5177.3913,0.15267,287.6329,0
19,8,0,0,11,8,14,19,29,22,48,148,0.06015,16.625,2460.5,0.049333,136.6944,0
119,59,13,0,47,20,23,68,107,43,175,658,0.025575,39.1,25727.8,0.21933,1429.3222,0
9,2,0,0,7,5,6,6,11,11,17,40,0.27778,3.6,144.0,0.013333,8.0,0
82,26,9,0,47,55,12,91,132,67,223,937,0.10073,9.9273,9301.8545,0.31233,516.7697,0
16,6,2,1,8,13,6,18,20,19,38,111,0.24074,4.1538,461.0769,0.037,25.6154,0
31,12,3,2,16,18,9,31,42,27,73,240,0.12903,7.75,1860.0,0.08,103.3333,0
477,104,89,2,284,150,29,482,699,179,1181,6126,0.021462,46.5933,285430.76,2.042,15857.2644,1
11,2,0,0,9,10,4,15,17,14,32,84,0.33333,3.0,252.0,0.028,14.0,0
9,2,0,0,7,7,4,11,13,11,24,57,0.31818,3.1429,179.1429,0.019,9.9524,0
10,2,0,0,8,7,4,13,15,11,28,67,0.26923,3.7143,248.8571,0.022333,13.8254,0
5,0,0,0,5,5,3,5,9,8,14,29,0.66667,1.5,43.5,0.0096667,2.4167,0
28,5,1,0,22,18,12,49,53,30,102,346,0.061224,16.3333,5651.3333,0.11533,313.963,0
26,6,0,0,20,16,11,41,44,27,85,280,0.070953,14.0938,3946.25,0.093333,219.2361,0
15,4,0,0,11,11,5,19,22,16,41,113,0.23158,4.3182,487.9545,0.037667,27.1086,0
22,4,1,0,17,17,9,25,36,26,61,198,0.15111,6.6176,1310.2941,0.066,72.7941,0
10,4,0,0,6,9,6,24,23,15,47,127,0.125,8.0,1016.0,0.042333,56.4444,0
23,5,1,0,17,15,10,43,58,25,101,325,0.069767,14.3333,4658.3333,0.10833,258.7963,0
86,22,8,3,56,31,11,76,113,42,189,706,0.074163,13.4839,9519.6129,0.23533,528.8674,0
115,17,1,1,97,35,16,154,204,51,358,1407,0.028409,35.2,49526.4,0.469,2751.4667,0
150,43,5,1,102,79,16,184,229,95,413,1880,0.053668,18.6329,35029.8734,0.62667,1946.1041,1
47,14,17,0,16,45,5,50,52,50,102,399,0.36,2.7778,1108.3333,0.133,61.5741,0
35,13,15,0,7,26,4,29,31,30,60,204,0.44828,2.2308,455.0769,0.068,25.2821,0
65,18,9,0,38,43,10,92,110,53,202,801,0.093478,10.6977,8568.8372,0.267,476.0465,0
29,4,1,0,24,27,5,55,57,32,112,388,0.19636,5.0926,1975.9259,0.12933,109.7737,0
42,13,0,0,29,27,14,65,85,41,150,557,0.059341,16.8519,9386.4815,0.18567,521.4712,0
14,3,0,0,11,14,7,34,43,21,77,234,0.11765,8.5,1989.0,0.078,110.5,0
29,8,0,0,21,18,8,36,46,26,82,267,0.125,8.0,2136.0,0.089,118.6667,0
151,38,13,4,100,64,28,189,285,92,474,2143,0.024187,41.3438,88599.6562,0.71433,4922.2031,0
42,8,3,0,31,18,11,40,59,29,99,333,0.081818,12.2222,4070.0,0.111,226.1111,0
208,38,28,4,142,70,17,259,371,87,630,2813,0.031797,31.45,88468.85,0.93767,4914.9361,1
48,9,8,4,31,28,14,56,88,42,144,538,0.071429,14.0,7532.0,0.17933,418.4444,0
135,44,20,2,71,87,23,203,258,110,461,2166,0.037267,26.8333,58121.0,0.722,3228.9444,1
125,25,12,4,88,62,27,153,229,89,382,1714,0.030017,33.3145,57101.0807,0.57133,3172.2823,1
14,2,0,0,12,13,11,18,29,24,47,149,0.13131,7.6154,1134.6923,0.049667,63.0385,0
147,32,10,4,105,46,17,165,247,63,412,1706,0.032799,30.4891,52014.4565,0.56867,2889.692,0
214,55,38,8,121,71,23,221,309,94,530,2407,0.027936,35.7958,86160.4296,0.80233,4786.6905,1
112,23,7,3,82,35,23,226,305,58,531,2156,0.013467,74.2571,160098.4,0.71867,8894.3556,0
110,29,11,3,70,48,23,135,182,71,317,1351,0.030918,32.3438,43696.4062,0.45033,2427.5781,1
49,14,7,3,28,23,16,53,74,39,127,465,0.054245,18.4348,8572.1739,0.155,476.2319,1
8,0,4,0,4,8,6,10,12,14,22,58,0.27,3.7,214.81,0.02,11.93,0
13,0,1,0,12,10,8,21,26,18,47,135,0.12,8.33,1125.0,0.05,62.5,0
20,0,12,0,8,14,12,21,34,26,55,179,0.11,9.09,1627.27,0.06,90.4,0
40,0,17,0,23,20,18,64,90,38,154,560,0.03,33.33,18666.67,0.19,1037.04,0
8,0,3,0,5,7,13,13,21,20,34,101,0.08,12.5,1262.5,0.03,70.14,0
10,0,2,0,8,4,5,5,10,9,15,32,0.32,3.13,100.0,0.01,5.56,0
9,0,1,0,8,4,5,4,11,9,15,32,0.4,2.5,80.0,0.01,4.44,0
24,0,5,0,19,14,9,41,55,23,96,301,0.08,12.5,3762.5,0.1,209.03,0
25,1,8,0,16,21,11,38,47,32,85,294,0.1,10.0,2940.0,0.1,163.33,1
6,0,1,0,5,3,3,3,7,6,10,17,0.67,1.49,25.37,0.01,1.41,0
6,0,0,0,6,5,4,7,9,9,16,35,0.36,2.78,97.22,0.01,5.4,0
6,0,1,0,5,6,4,7,9,10,16,36,0.43,2.33,83.72,0.01,4.65,0
20,0,5,0,15,14,7,24,32,21,56,170,0.17,5.88,1000.0,0.06,55.56,1
11,0,5,0,6,10,4,11,13,14,24,63,0.45,2.22,140.0,0.02,7.78,1
6,0,1,0,5,3,3,3,7,6,10,17,0.67,1.49,25.37,0.01,1.41,0
7,0,0,0,7,6,12,14,21,18,35,101,0.07,14.29,1442.86,0.03,80.16,0
10,0,1,0,9,9,11,17,29,20,46,137,0.1,10.0,1370.0,0.05,76.11,0
9,0,2,0,7,6,7,9,18,13,27,69,0.19,5.26,363.16,0.02,20.18,0
5,0,2,0,3,4,4,4,7,8,11,22,0.5,2.0,44.0,0.01,2.44,0
7,0,0,0,7,10,8,23,25,18,48,138,0.11,9.09,1254.55,0.05,69.7,0
7,0,0,0,7,9,9,22,32,18,54,156,0.09,11.11,1733.33,0.05,96.3,0
12,0,3,0,9,12,7,23,27,19,50,147,0.15,6.67,980.0,0.05,54.44,0
14,0,2,0,12,13,9,26,42,22,68,210,0.11,9.09,1909.09,0.07,106.06,0
32,0,2,0,30,20,9,48,64,29,112,377,0.09,11.11,4188.89,0.13,232.72,0
6,0,1,0,5,5,6,5,9,11,14,33,0.33,3.03,100.0,0.01,5.56,0
22,0,3,0,19,13,5,20,29,18,49,141,0.26,3.85,542.31,0.05,30.13,0
57,0,4,0,53,25,17,59,100,42,159,594,0.05,20.0,11880.0,0.2,660.0,1
28,1,3,0,24,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
74,0,18,2,56,30,12,70,119,42,189,706,0.07,14.29,10085.71,0.24,560.32,1
19,0,8,1,11,9,5,11,24,14,35,92,0.33,3.03,278.79,0.03,15.49,1
20,0,3,0,17,15,11,21,39,26,60,195,0.13,7.69,1500.0,0.07,83.33,1
13,0,2,0,11,7,6,10,19,13,29,74,0.23,4.35,321.74,0.02,17.87,1
78,0,18,0,60,32,16,70,125,48,195,754,0.06,16.67,12566.67,0.25,698.15,0
29,0,7,0,22,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,0
49,0,12,0,37,28,15,48,88,43,136,511,0.08,12.5,6387.5,0.17,354.86,1
6,0,0,0,6,7,5,9,11,12,20,49,0.31,3.23,158.06,0.02,8.78,0
6,0,0,0,6,5,4,6,9,9,15,32,0.42,2.38,76.19,0.01,4.23,0
25,0,7,0,18,14,10,31,44,24,75,238,0.09,11.11,2644.44,0.08,146.91,0
8,0,3,1,5,6,5,6,14,11,20,47,0.4,2.5,117.5,0.02,6.53,0
11,0,3,0,8,6,8,9,18,14,27,71,0.17,5.88,417.65,0.02,23.2,1
12,0,0,0,12,9,8,21,26,17,47,133,0.11,9.09,1209.09,0.04,67.17,0
18,0,1,0,17,14,14,28,39,28,67,223,0.07,14.29,3185.71,0.07,176.98,0
17,0,2,0,15,12,15,26,36,27,62,204,0.06,16.67,3400.0,0.07,188.89,0
11,0,0,0,11,10,12,19,28,22,47,145,0.09,11.11,1611.11,0.05,89.51,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
7,0,0,0,7,8,4,8,11,12,19,47,0.5,2.0,94.0,0.02,5.22,0
8,0,0,0,8,10,4,11,13,14,24,63,0.45,2.22,140.0,0.02,7.78,0
13,0,0,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,0.06,84.34,0
24,0,0,0,24,14,6,15,30,20,45,134,0.31,3.23,432.26,0.04,24.01,0
24,0,0,0,24,14,6,15,30,20,45,134,0.31,3.23,432.26,0.04,24.01,0
18,0,7,0,11,13,13,30,44,26,74,241,0.07,14.29,3442.86,0.08,191.27,0
33,0,14,0,19,17,17,45,62,34,107,377,0.04,25.0,9425.0,0.13,523.61,0
9,0,3,0,6,5,9,8,15,14,23,60,0.14,7.14,428.57,0.02,23.81,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
4,0,0,0,4,4,5,5,6,9,11,24,0.32,3.13,75.0,0.01,4.17,0
4,0,0,0,4,4,5,5,6,9,11,24,0.32,3.13,75.0,0.01,4.17,0
44,0,29,0,15,33,15,48,60,48,108,418,0.09,11.11,4644.44,0.14,258.02,0
28,0,5,0,23,26,13,57,67,39,124,454,0.07,14.29,6485.71,0.15,360.32,0
9,0,3,0,6,8,7,11,13,15,24,64,0.21,4.76,304.76,0.02,16.93,0
18,0,7,0,11,7,3,7,15,10,22,50,0.67,1.49,74.63,0.02,4.15,0
12,0,3,0,9,10,13,24,30,23,54,169,0.06,16.67,2816.67,0.06,156.48,0
18,0,6,0,12,12,13,40,49,25,89,286,0.05,20.0,5720.0,0.1,317.78,0
4,0,0,0,4,4,5,4,6,9,10,21,0.4,2.5,52.5,0.01,2.92,1
1,43,1,9,0,33,20,15,61,86,35,147,522.0,0.04,25.0,13050.0,0.17,1
1,48,0,11,0,37,21,15,68,97,36,165,591.0,0.04,25.0,14775.0,0.2,1
59,0,12,0,47,25,15,68,100,40,168,619,0.05,20.0,12380.0,0.21,687.78,0
9,0,4,0,5,4,6,7,15,10,22,50,0.19,5.26,263.16,0.02,14.62,0
4,0,0,0,4,2,4,2,5,6,7,12,0.5,2.0,24.0,0.0,1.33,0
39,0,14,0,25,27,10,42,67,37,109,393,0.13,7.69,3023.08,0.13,167.95,1
75,6,31,0,38,31,8,46,84,39,130,476,0.17,5.88,2800.0,0.16,155.56,0
21,0,8,0,13,13,8,20,30,21,50,152,0.16,6.25,950.0,0.05,52.78,0
59,0,1,0,58,26,11,72,102,37,174,628,0.07,14.29,8971.43,0.21,498.41,0
98,0,9,0,89,50,16,91,160,66,251,1051,0.07,14.29,15014.29,0.35,834.13,1
10,0,0,0,10,7,8,16,21,15,37,100,0.11,9.09,909.09,0.03,50.51,0
5,0,0,0,5,4,4,6,7,8,13,27,0.33,3.03,81.82,0.01,4.55,0
19,1,4,0,14,10,8,15,27,18,42,121,0.17,5.88,711.76,0.04,39.54,0
36,4,5,0,27,14,7,38,56,21,94,286,0.11,9.09,2600.0,0.1,144.44,0
3,0,0,0,3,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
8,0,3,0,5,6,6,7,11,12,18,44,0.29,3.45,151.72,0.01,8.43,0
3,0,0,0,3,1,2,1,3,3,4,4,1.0,1.0,4.0,0.0,0.22,0
38,0,13,1,25,23,13,47,68,36,115,412,0.08,12.5,5150.0,0.14,286.11,0
54,0,19,0,35,40,13,79,112,53,191,758,0.08,12.5,9475.0,0.25,526.39,0
54,0,13,0,41,40,13,76,105,53,181,718,0.08,12.5,8975.0,0.24,498.61,0
11,1,6,0,4,13,5,15,18,18,33,95,0.35,2.86,271.43,0.03,15.08,0
72,0,23,1,49,47,15,109,158,62,267,1101,0.06,16.67,18350.0,0.37,1019.44,0
7,0,4,0,3,5,3,7,9,8,16,33,0.48,2.08,68.75,0.01,3.82,0
35,0,13,0,22,28,13,49,71,41,120,445,0.09,11.11,4944.44,0.15,274.69,0
37,0,13,1,24,33,15,56,79,48,135,522,0.08,12.5,6525.0,0.17,362.5,0
39,0,14,1,25,34,15,62,88,49,150,583,0.07,14.29,8328.57,0.19,462.7,0
13,0,9,0,4,7,4,15,17,11,32,76,0.23,4.35,330.43,0.03,18.36,0
14,0,4,0,10,9,8,13,22,17,35,99,0.17,5.88,582.35,0.03,32.35,0
4,0,0,0,4,4,6,6,7,10,13,29,0.22,4.55,131.82,0.01,7.32,0
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0
27,0,10,0,17,15,9,36,48,24,84,266,0.09,11.11,2955.56,0.09,164.2,0
9,0,0,0,9,7,3,8,15,10,23,52,0.58,1.72,89.66,0.02,4.98,0
10,0,7,0,3,7,3,7,15,10,22,50,0.67,1.49,74.63,0.02,4.15,0
51,2,17,0,32,26,9,44,69,35,113,401,0.13,7.69,3084.62,0.13,171.37,0
28,2,11,0,15,11,7,17,31,18,48,138,0.18,5.56,766.67,0.05,42.59,0
