file_path,class_name,file_npm,extract_npm,file_loc,extract_loc,extract_loc_with_c,lo_comment
org.apache.tools.ant.taskdefs.rmic.RmicAdapterFactory,RmicAdapterFactory,1,1,106,49,106,57
org.apache.tools.ant.taskdefs.optional.perforce.FStatP4OutputHandler,FStatP4OutputHandler,4,3,76,37,60,23
org.apache.tools.ant.taskdefs.optional.junit.OutErrSummaryJUnitResultFormatter,OutErrSummaryJUnitResultFormatter,1,0,7,12,36,24
org.apache.tools.ant.taskdefs.optional.perforce.P4HandlerAdapter,P4HandlerAdapter,8,7,101,51,113,62
org.apache.tools.ant.taskdefs.WaitFor,WaitFor,7,8,185,125,229,104
org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantCPInfo,ConstantCPInfo,2,2,16,20,63,43
org.apache.tools.zip.AsiExtraField,AsiExtraField,18,17,345,156,333,177
org.apache.tools.ant.types.resources.comparators.Date,Date,1,11,12,92,162,70
org.apache.tools.ant.util.facade.FacadeTaskHelper,FacadeTaskHelper,9,7,119,66,144,78
org.apache.tools.ant.types.selectors.DepthSelector,DepthSelector,7,6,255,114,185,71
org.apache.tools.ant.taskdefs.optional.dotnet.JSharp,JSharp,6,5,71,59,141,82
org.apache.tools.ant.taskdefs.LogStreamHandler,LogStreamHandler,3,1,38,29,69,40
org.apache.tools.ant.input.InputHandler,InputHandler,1,0,1,8,41,33
org.apache.tools.zip.JarMarker,JarMarker,8,7,54,46,108,62
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkbl,CCMkbl,16,15,252,166,365,199
org.apache.tools.ant.types.resources.Restrict,Restrict,9,7,110,89,148,59
org.apache.tools.ant.DemuxInputStream,DemuxInputStream,3,2,34,28,73,45
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc,IPlanetEjbc,10,51,835,980,1493,513
org.apache.tools.zip.ZipExtraField,ZipExtraField,6,0,6,20,85,65
org.apache.tools.ant.types.resources.comparators.FileSystem,FileSystem,1,0,41,20,49,29
org.apache.tools.ant.taskdefs.condition.TypeFound,TypeFound,4,3,70,48,90,42
org.apache.tools.ant.taskdefs.optional.perforce.P4OutputHandler,P4OutputHandler,1,0,1,8,34,26
org.apache.tools.ant.taskdefs.email.Message,Message,11,8,181,90,169,79
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCP,MSVSSCP,2,1,51,30,69,39
org.apache.tools.ant.taskdefs.condition.IsSet,IsSet,3,2,29,23,54,31
org.apache.tools.ant.taskdefs.optional.Rpm,Rpm,13,12,483,228,367,139
org.apache.tools.ant.types.selectors.BaseExtendSelector,BaseExtendSelector,3,2,18,32,87,55
org.apache.tools.ant.taskdefs.optional.junit.XMLJUnitResultFormatter,XMLJUnitResultFormatter,11,10,443,192,291,99
org.apache.tools.ant.taskdefs.optional.net.SetProxy,SetProxy,10,9,309,152,281,129
org.apache.tools.ant.util.KeepAliveInputStream,KeepAliveInputStream,2,1,7,15,57,42
org.apache.tools.ant.taskdefs.CallTarget,CallTarget,15,14,204,122,255,133
org.apache.tools.ant.taskdefs.DefBase,DefBase,11,10,108,79,167,88
org.apache.tools.zip.ZipOutputStream,ZipOutputStream,15,13,1286,478,900,422
org.apache.tools.ant.taskdefs.optional.perforce.P4Label,P4Label,5,8,249,118,176,58
org.apache.tools.ant.taskdefs.XSLTLiaison,XSLTLiaison,3,0,4,16,68,52
org.apache.tools.ant.types.resources.BCFileSet,BCFileSet,4,2,57,33,72,39
org.apache.tools.ant.taskdefs.optional.extension.ExtraAttribute,ExtraAttribute,4,3,53,34,83,49
org.apache.tools.ant.taskdefs.optional.vss.MSVSS,MSVSS,9,10,1133,453,777,324
org.apache.tools.ant.util.regexp.Jdk14RegexpRegexp,Jdk14RegexpRegexp,2,1,136,68,105,37
org.apache.tools.ant.taskdefs.condition.AntVersion,AntVersion,6,5,169,79,126,47
org.apache.tools.ant.util.LazyFileOutputStream,LazyFileOutputStream,10,5,136,79,162,83
org.apache.tools.ant.util.LoaderUtils,LoaderUtils,8,7,91,57,139,82
org.apache.tools.ant.loader.AntClassLoader2,AntClassLoader2,1,0,4,9,31,22
org.apache.tools.ant.taskdefs.rmic.ForkingSunRmic,ForkingSunRmic,2,1,72,45,85,40
org.apache.tools.ant.util.StringUtils,StringUtils,7,7,281,135,226,91
org.apache.tools.ant.types.Parameter,Parameter,7,6,43,31,82,51
org.apache.tools.ant.util.regexp.Jdk14RegexpMatcher,Jdk14RegexpMatcher,7,6,130,89,169,80
org.apache.tools.ant.DirectoryScanner,DirectoryScanner,31,30,2303,879,1687,808
org.apache.tools.ant.taskdefs.LogOutputStream,LogOutputStream,3,1,56,45,101,56
org.apache.tools.ant.taskdefs.optional.jsp.JspMangler,JspMangler,2,0,2,12,47,35
org.apache.tools.ant.taskdefs.optional.dotnet.Ildasm,Ildasm,19,21,365,249,474,225
org.apache.tools.ant.taskdefs.Apt,Apt,17,20,137,132,265,133
org.apache.tools.ant.taskdefs.MacroInstance,MacroInstance,8,9,804,333,405,72
org.apache.tools.ant.DemuxOutputStream,DemuxOutputStream,5,4,245,130,248,118
org.apache.tools.ant.types.ZipScanner,ZipScanner,1,0,128,66,104,38
org.apache.tools.ant.taskdefs.ExecTask,ExecTask,30,27,920,400,709,309
org.apache.tools.ant.types.DataType,DataType,7,6,271,153,339,186
org.apache.tools.ant.types.ArchiveFileSet,ArchiveFileSet,29,28,586,275,496,221
org.apache.tools.ant.taskdefs.rmic.XNewRmic,XNewRmic,1,0,19,20,52,32
org.apache.tools.ant.taskdefs.optional.junit.Enumerations,Enumerations,2,6,16,73,177,104
org.apache.tools.ant.taskdefs.Nice,Nice,4,3,76,47,99,52
org.apache.tools.ant.taskdefs.optional.Script,Script,11,10,76,55,132,77
org.apache.tools.ant.taskdefs.optional.junit.JUnitVersionHelper,JUnitVersionHelper,2,1,187,72,119,47
org.apache.tools.ant.AntClassLoader,AntClassLoader,35,31,1842,875,1549,674
org.apache.tools.ant.types.selectors.DifferentSelector,DifferentSelector,3,2,105,54,114,60
org.apache.tools.ant.taskdefs.optional.junit.DOMUtil,DOMUtil,4,6,241,142,225,83
org.apache.tools.ant.types.selectors.modifiedselector.DigestAlgorithm,DigestAlgorithm,7,6,218,118,202,84
org.apache.tools.ant.taskdefs.optional.windows.Attrib,Attrib,12,11,207,107,195,88
org.apache.tools.ant.taskdefs.cvslib.ChangeLogWriter,ChangeLogWriter,2,1,157,78,115,37
org.apache.tools.ant.taskdefs.optional.extension.JarLibDisplayTask,JarLibDisplayTask,4,3,141,60,118,58
org.apache.tools.ant.taskdefs.optional.ssh.SSHExec,SSHExec,7,7,345,183,261,78
org.apache.tools.ant.taskdefs.TaskOutputStream,TaskOutputStream,1,1,67,48,95,47
org.apache.tools.ant.types.resources.comparators.Size,Size,1,5,12,31,73,42
org.apache.tools.ant.types.selectors.MajoritySelector,MajoritySelector,4,3,77,52,105,53
org.apache.tools.ant.taskdefs.condition.IsFailure,IsFailure,4,3,19,21,54,33
org.apache.tools.ant.taskdefs.optional.junit.XalanExecutor,XalanExecutor,0,0,145,77,135,58
org.apache.tools.ant.types.selectors.SizeSelector,SizeSelector,8,8,329,135,262,127
org.apache.tools.ant.taskdefs.optional.Cab,Cab,8,7,566,248,351,103
org.apache.tools.ant.util.TimeoutObserver,TimeoutObserver,1,0,1,7,37,30
org.apache.tools.ant.util.DOMElementWriter,DOMElementWriter,13,10,878,386,577,191
org.apache.tools.ant.types.resources.CompressedResource,CompressedResource,20,18,250,166,304,138
org.apache.tools.ant.taskdefs.optional.depend.ClassFile,ClassFile,4,3,106,65,119,54
org.apache.tools.zip.ZipEntry,ZipEntry,23,20,405,185,368,183
org.apache.tools.ant.types.AntFilterReader,AntFilterReader,10,9,166,88,157,69
org.apache.tools.ant.DynamicAttribute,DynamicAttribute,1,0,1,9,38,29
org.apache.tools.ant.types.selectors.ExtendSelector,ExtendSelector,10,9,249,124,200,76
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheck,CCMCheck,9,8,240,131,207,76
org.apache.tools.ant.taskdefs.JikesOutputParser,JikesOutputParser,5,5,156,103,182,79
org.apache.tools.ant.taskdefs.LoadProperties,LoadProperties,11,10,303,147,233,86
org.apache.tools.ant.types.resources.selectors.Not,Not,4,2,35,28,66,38
org.apache.tools.ant.taskdefs.optional.ReplaceRegExp,ReplaceRegExp,12,11,725,357,547,190
org.apache.tools.ant.taskdefs.BuildNumber,BuildNumber,3,2,258,135,200,65
org.apache.tools.ant.BuildLogger,BuildLogger,4,0,4,15,72,57
org.apache.tools.ant.types.resources.comparators.Reverse,Reverse,3,1,42,31,71,40
org.apache.tools.ant.types.resources.ArchiveResource,ArchiveResource,18,14,361,163,269,106
org.apache.tools.ant.types.resources.First,First,3,2,55,36,70,34
org.apache.tools.ant.taskdefs.email.Mailer,Mailer,18,17,143,97,220,123
org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator,XMLResultAggregator,7,6,455,200,328,128
org.apache.tools.ant.util.regexp.RegexpMatcher,RegexpMatcher,6,0,10,30,109,79
org.apache.tools.ant.types.selectors.OrSelector,OrSelector,3,2,52,38,78,40
org.apache.tools.ant.types.spi.Service,Service,7,6,115,73,124,51
org.apache.tools.ant.taskdefs.Pack,Pack,8,7,220,120,205,85
org.apache.tools.ant.taskdefs.optional.ejb.DescriptorHandler,DescriptorHandler,10,9,605,246,389,143
org.apache.tools.ant.taskdefs.optional.jlink.jlink,jlink,9,8,654,333,461,128
org.apache.tools.ant.taskdefs.optional.perforce.SimpleP4OutputHandler,SimpleP4OutputHandler,2,1,103,39,96,57
org.apache.tools.ant.types.Mapper,Mapper,13,14,311,204,306,102
org.apache.tools.ant.Task,Task,19,18,375,214,482,268
org.apache.tools.ant.types.resources.Files,Files,29,24,710,320,504,184
org.apache.tools.ant.types.selectors.modifiedselector.HashvalueAlgorithm,HashvalueAlgorithm,4,3,45,36,79,43
org.apache.tools.ant.util.SourceFileScanner,SourceFileScanner,6,5,148,71,169,98
org.apache.tools.ant.taskdefs.optional.i18n.Translate,Translate,14,13,1034,392,626,234
org.apache.tools.ant.util.optional.WeakishReference12,WeakishReference12,1,0,5,12,45,33
org.apache.tools.ant.types.selectors.FilenameSelector,FilenameSelector,8,7,197,91,166,75
org.apache.tools.ant.taskdefs.optional.junit.FormatterElement,FormatterElement,11,11,286,158,283,125
org.apache.tools.ant.util.regexp.RegexpMatcherFactory,RegexpMatcherFactory,3,2,163,81,136,55
org.apache.tools.ant.taskdefs.Mkdir,Mkdir,3,2,111,55,98,43
org.apache.tools.ant.BuildListener,BuildListener,7,0,7,21,106,85
org.apache.tools.ant.taskdefs.optional.jlink.ClassNameReader,ClassNameReader,2,1,48,89,138,49
org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants,MSVSSConstants,0,0,48,57,126,69
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklbtype,CCMklbtype,20,19,309,195,440,245
org.apache.tools.ant.taskdefs.optional.pvcs.PvcsProject,PvcsProject,3,2,14,20,49,29
org.apache.tools.ant.filters.StripJavaComments,StripJavaComments,4,2,161,77,145,68
org.apache.tools.ant.taskdefs.Taskdef,Taskdef,1,0,40,14,52,38
org.apache.tools.ant.util.LineTokenizer,LineTokenizer,4,3,125,75,114,39
org.apache.tools.ant.filters.ReplaceTokens,ReplaceTokens,7,9,488,228,374,146
org.apache.tools.ant.PathTokenizer,PathTokenizer,3,2,204,84,165,81
org.apache.tools.ant.filters.BaseParamFilterReader,BaseParamFilterReader,3,1,22,28,73,45
org.apache.tools.ant.types.selectors.MappingSelector,MappingSelector,6,5,143,79,148,69
org.apache.tools.ant.util.ConcatFileInputStream,ConcatFileInputStream,6,5,159,85,136,51
org.apache.tools.ant.taskdefs.condition.And,And,2,1,23,25,58,33
org.apache.tools.ant.taskdefs.optional.javacc.JJTree,JJTree,17,16,678,288,405,117
org.apache.tools.ant.taskdefs.optional.dotnet.DotnetBaseMatchingTask,DotnetBaseMatchingTask,6,5,202,105,194,89
org.apache.tools.ant.filters.ExpandProperties,ExpandProperties,4,2,87,52,113,61
org.apache.tools.ant.types.selectors.modifiedselector.PropertiesfileCache,PropertiesfileCache,12,10,234,137,236,99
org.apache.tools.ant.taskdefs.cvslib.RCSFile,RCSFile,0,0,39,36,69,33
org.apache.tools.ant.types.resources.ZipResource,ZipResource,10,9,213,129,203,74
org.apache.tools.ant.taskdefs.ExecuteStreamHandler,ExecuteStreamHandler,5,0,5,19,68,49
org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand,NetCommand,14,13,517,232,404,172
org.apache.tools.ant.listener.TimestampedLogger,TimestampedLogger,1,0,49,28,67,39
org.apache.tools.mail.ErrorInQuitException,ErrorInQuitException,1,0,6,12,43,31
org.apache.tools.ant.taskdefs.UpToDate,UpToDate,11,10,384,177,272,95
org.apache.tools.ant.types.resources.selectors.Exists,Exists,2,1,8,11,37,26
org.apache.tools.ant.util.ProxySetup,ProxySetup,3,2,76,57,118,61
org.apache.tools.ant.taskdefs.ManifestTask,ManifestTask,7,7,260,134,216,82
org.apache.tools.ant.taskdefs.optional.ccm.Continuus,Continuus,4,3,106,70,144,74
org.apache.tools.ant.util.Retryable,Retryable,1,0,2,10,38,28
org.apache.tools.ant.taskdefs.optional.RenameExtensions,RenameExtensions,6,5,205,82,145,63
org.apache.tools.ant.BuildEvent,BuildEvent,11,8,97,67,201,134
org.apache.tools.ant.util.CompositeMapper,CompositeMapper,2,1,48,27,49,22
org.apache.tools.ant.types.resources.FileResource,FileResource,22,18,397,198,324,126
org.apache.tools.ant.util.ScriptRunnerBase,ScriptRunnerBase,20,19,290,162,307,145
org.apache.tools.ant.taskdefs.cvslib.RedirectingStreamHandler,RedirectingStreamHandler,1,1,40,38,60,22
org.apache.tools.ant.launch.Launcher,Launcher,2,1,566,239,350,111
org.apache.tools.ant.taskdefs.condition.IsTrue,IsTrue,3,2,30,22,55,33
org.apache.tools.ant.taskdefs.Zip,Zip,28,31,2937,1157,1716,559
org.apache.tools.ant.taskdefs.optional.unix.AbstractAccessTask,AbstractAccessTask,5,4,83,47,109,62
org.apache.tools.ant.taskdefs.optional.extension.ExtensionSet,ExtensionSet,7,6,122,59,125,66
org.apache.tools.ant.taskdefs.condition.Or,Or,2,1,23,25,58,33
org.apache.tools.bzip2.BZip2Constants,BZip2Constants,0,0,2064,72,109,37
org.apache.tools.ant.util.GlobPatternMapper,GlobPatternMapper,6,5,185,81,170,89
org.apache.tools.ant.taskdefs.War,War,7,6,195,116,229,113
org.apache.tools.ant.taskdefs.optional.vss.MSVSSADD,MSVSSADD,6,5,95,56,122,66
org.apache.tools.ant.types.Permissions,Permissions,6,13,341,211,335,124
org.apache.tools.ant.taskdefs.condition.HasFreeSpace,HasFreeSpace,6,5,86,56,88,32
org.apache.tools.ant.taskdefs.email.UUMailer,UUMailer,0,0,58,33,55,22
org.apache.tools.ant.types.resources.selectors.ResourceSelector,ResourceSelector,1,0,1,9,35,26
org.apache.tools.ant.util.ResourceUtils,ResourceUtils,10,10,905,375,572,197
org.apache.tools.ant.AntTypeDefinition,AntTypeDefinition,18,17,575,219,369,150
org.apache.tools.ant.taskdefs.AntlibDefinition,AntlibDefinition,5,4,48,34,81,47
org.apache.tools.ant.taskdefs.optional.j2ee.WebLogicHotDeploymentTool,WebLogicHotDeploymentTool,7,6,331,141,246,105
org.apache.tools.ant.taskdefs.optional.vss.MSVSSLABEL,MSVSSLABEL,5,4,94,50,108,58
org.apache.tools.ant.types.selectors.ExtendFileSelector,ExtendFileSelector,0,0,0,9,39,30
org.apache.tools.ant.util.optional.JavaxScriptRunner,JavaxScriptRunner,5,4,236,88,131,43
org.apache.tools.ant.taskdefs.optional.perforce.P4Change,P4Change,5,5,94,83,147,64
org.apache.tools.ant.taskdefs.optional.ssh.Scp,Scp,13,12,741,311,410,99
org.apache.tools.ant.taskdefs.optional.javah.SunJavah,SunJavah,2,1,182,91,123,32
org.apache.tools.ant.types.CommandlineJava,CommandlineJava,33,38,559,393,699,306
org.apache.tools.ant.filters.ClassConstants,ClassConstants,4,2,162,90,164,74
org.apache.tools.ant.taskdefs.optional.clearcase.CCLock,CCLock,15,14,263,171,378,207
org.apache.tools.ant.taskdefs.Cvs,Cvs,1,0,4,8,41,33
org.apache.tools.ant.types.Reference,Reference,9,6,103,59,134,75
org.apache.tools.ant.filters.LineContains,LineContains,7,7,212,117,243,126
org.apache.tools.ant.taskdefs.optional.junit.Constants,Constants,1,0,16,18,38,20
org.apache.tools.ant.taskdefs.Available,Available,17,19,783,324,502,178
org.apache.tools.ant.types.selectors.TypeSelector,TypeSelector,6,6,104,72,135,63
org.apache.tools.ant.taskdefs.Sleep,Sleep,9,8,129,92,191,99
org.apache.tools.ant.types.resources.comparators.ResourceComparator,ResourceComparator,4,3,62,36,81,45
org.apache.tools.ant.types.resources.selectors.Type,Type,4,3,74,52,105,53
org.apache.tools.ant.filters.TabsToSpaces,TabsToSpaces,5,3,126,76,155,79
org.apache.tools.ant.taskdefs.Jikes,Jikes,0,1,182,152,226,74
org.apache.tools.ant.types.ResourceCollection,ResourceCollection,3,0,3,13,50,37
org.apache.tools.ant.util.IdentityStack,IdentityStack,6,4,74,48,102,54
org.apache.tools.ant.UnknownElement,UnknownElement,19,18,900,415,672,257
org.apache.tools.ant.taskdefs.Checksum,Checksum,18,21,1046,454,686,232
org.apache.tools.ant.taskdefs.optional.ejb.WebsphereDeploymentTool,WebsphereDeploymentTool,23,22,1220,604,891,287
org.apache.tools.ant.taskdefs.Basename,Basename,5,4,90,45,109,64
org.apache.tools.ant.taskdefs.optional.javah.Kaffeh,Kaffeh,2,1,111,64,94,30
org.apache.tools.ant.util.ChainedMapper,ChainedMapper,2,1,73,36,60,24
org.apache.tools.ant.taskdefs.optional.ccm.CCMCheckout,CCMCheckout,1,0,7,11,35,24
org.apache.tools.ant.types.resources.BaseResourceCollectionWrapper,BaseResourceCollectionWrapper,8,6,233,133,201,68
org.apache.tools.ant.taskdefs.BUnzip2,BUnzip2,1,0,164,65,109,44
org.apache.tools.ant.util.Base64Converter,Base64Converter,3,2,502,67,108,41
org.apache.tools.ant.taskdefs.optional.ssh.AbstractSshMessage,AbstractSshMessage,4,7,269,175,269,94
org.apache.tools.ant.types.resources.selectors.Majority,Majority,4,2,84,46,84,38
org.apache.tools.ant.taskdefs.FixCRLF,FixCRLF,16,41,457,451,681,230
org.apache.tools.ant.taskdefs.optional.j2ee.HotDeploymentTool,HotDeploymentTool,3,0,8,21,61,40
org.apache.tools.ant.types.resources.Intersect,Intersect,1,0,83,37,63,26
org.apache.tools.ant.taskdefs.Javac,Javac,68,68,1021,572,1023,451
org.apache.tools.ant.types.resources.Touchable,Touchable,1,0,1,5,32,27
org.apache.tools.ant.taskdefs.optional.extension.resolvers.LocationResolver,LocationResolver,4,3,36,28,64,36
org.apache.tools.ant.taskdefs.optional.sos.SOSGet,SOSGet,5,4,106,50,116,66
org.apache.tools.ant.types.ArchiveScanner,ArchiveScanner,12,11,344,171,335,164
org.apache.tools.ant.taskdefs.optional.depend.constantpool.Utf8CPInfo,Utf8CPInfo,4,3,27,26,67,41
org.apache.tools.ant.types.resources.JavaResource,JavaResource,11,9,279,132,211,79
org.apache.tools.ant.taskdefs.optional.ejb.IPlanetDeploymentTool,IPlanetDeploymentTool,7,6,450,192,384,192
org.apache.tools.ant.types.selectors.SelectorContainer,SelectorContainer,24,0,24,58,186,128
org.apache.tools.ant.taskdefs.email.MimeMailer,MimeMailer,2,9,379,237,286,49
org.apache.tools.ant.taskdefs.optional.ssh.Directory,Directory,15,13,161,107,193,86
org.apache.tools.ant.types.FilterSetCollection,FilterSetCollection,5,3,69,51,100,49
org.apache.tools.ant.taskdefs.optional.depend.DirectoryIterator,DirectoryIterator,2,1,120,88,164,76
org.apache.tools.ant.taskdefs.condition.IsSigned,IsSigned,5,4,193,87,134,47
org.apache.tools.ant.taskdefs.cvslib.CvsVersion,CvsVersion,7,6,210,96,153,57
org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool,ConstantPool,0,13,115,222,357,135
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout,CCCheckout,20,19,392,236,516,280
org.apache.tools.ant.taskdefs.XSLTProcess,XSLTProcess,31,53,1254,713,1223,510
org.apache.tools.ant.TypeAdapter,TypeAdapter,5,0,5,15,66,51
org.apache.tools.ant.taskdefs.SQLExec,SQLExec,20,25,881,493,789,296
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin,CCCheckin,14,13,241,153,343,190
org.apache.tools.ant.util.FileUtils,FileUtils,56,55,1752,715,1531,816
org.apache.tools.ant.PropertyHelper,PropertyHelper,18,17,689,330,629,299
org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib,ImportTypelib,8,7,224,121,217,96
org.apache.tools.ant.taskdefs.optional.extension.resolvers.URLResolver,URLResolver,6,5,133,82,132,50
org.apache.tools.ant.taskdefs.optional.native2ascii.KaffeNative2Ascii,KaffeNative2Ascii,1,0,77,51,88,37
org.apache.tools.ant.types.Substitution,Substitution,4,3,33,30,77,47
org.apache.tools.ant.taskdefs.cvslib.CvsUser,CvsUser,6,5,51,44,93,49
org.apache.tools.zip.ExtraFieldUtils,ExtraFieldUtils,6,5,388,110,174,64
org.apache.tools.ant.filters.TailFilter,TailFilter,6,4,328,136,242,106
org.apache.tools.ant.taskdefs.optional.junit.Xalan2Executor,Xalan2Executor,1,0,115,65,96,31
org.apache.tools.ant.taskdefs.Length,Length,14,14,348,241,329,88
org.apache.tools.ant.types.selectors.SelectSelector,SelectSelector,12,11,199,119,211,92
org.apache.tools.ant.listener.AnsiColorLogger,AnsiColorLogger,1,0,251,127,243,116
org.apache.tools.ant.types.Quantifier,Quantifier,5,3,195,84,144,60
org.apache.tools.ant.taskdefs.optional.clearcase.ClearCase,ClearCase,9,8,189,108,241,133
